SaleID,CustomerID,ProductID,SaleDate,Quantity,UnitPrice,TotalPrice,PaymentMethod,ShippingAddress,ShippingDate,DeliveryStatus
1,30,160,2024-03-11,1,363.77,363.77,Credit Card,"64596 Faith Row Townsendmouth, MD 18176",2024-03-06,Shipped
2,10,106,2024-05-06,3,570.14,1710.42,Credit Card,"996 Thomas Street Suite 387 East Christinaview, SD 84955",2024-01-24,Shipped
3,97,191,2024-05-22,1,709.99,709.99,Credit Card,"3582 Mann Way North Hunterville, DE 27888",2024-01-11,Shipped
4,39,155,2024-05-23,2,905.13,1810.26,Bank Transfer,"08112 Martinez Village Apt. 977 New Vanessatown, MA 89433",2024-04-22,Shipped
5,94,121,2024-01-22,4,538.89,2155.56,Bank Transfer,"674 Cowan Glens East Samuelhaven, MD 33940",2024-02-17,Delivered
6,44,140,2024-03-30,3,823.06,2469.18,PayPal,"80789 Long Plaza Suite 581 Port Brianstad, GA 94731",2024-04-28,Processing
7,84,153,2024-05-08,4,206.63,826.52,Credit Card,"9840 Melissa Rapids Apt. 723 Lake Johnchester, NV 61418",2024-04-04,Processing
8,7,149,2024-06-14,1,520.21,520.21,PayPal,"219 Miller Views Apt. 674 Samanthahaven, IA 70896",2024-05-26,Shipped
9,55,115,2024-03-18,4,879.48,3517.92,Bank Transfer,"046 Monica Flats Theresamouth, NM 30514",2024-02-25,Processing
10,10,155,2024-02-29,1,237.68,237.68,PayPal,"70264 Curry Road Apt. 584 South Danny, DE 05731",2024-01-26,Delivered
11,78,142,2024-04-15,1,778.96,778.96,Credit Card,"1598 Richard Shore Apt. 447 Nathanielstad, CA 71965",2024-04-24,Delivered
12,61,139,2024-01-27,4,253.12,1012.48,PayPal,"2790 Tammy Cape East Mariaside, VA 36847",2024-04-26,Processing
13,2,160,2024-02-14,4,258.1,1032.4,Bank Transfer,"08681 Ryan Trail Suite 079 West Trevorton, WI 54612",2024-05-31,Delivered
14,67,126,2024-01-01,1,299.16,299.16,Bank Transfer,"86693 Jeremy Run New Joseph, AR 37275",2024-06-16,Processing
15,19,112,2024-04-14,1,936.4,936.4,Bank Transfer,"07822 Garrison Trace Suite 741 Hawkinston, TX 47282",2024-03-07,Processing
16,81,106,2024-06-07,2,244.63,489.26,Bank Transfer,"2891 Kaitlyn Court Port Carolynbury, VT 09834",2024-05-11,Shipped
17,89,124,2024-05-25,2,574.67,1149.34,Credit Card,"08905 Eric Street Suite 001 West Candice, IN 46071",2024-01-13,Delivered
